Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags
60,1 - Warmup,Invincible,Carola,,4:49,Pop,,,
60,2 - Squats,What's Up,Zander feat. Alexis Hart,,5:31,Pop,,,
60,3 - Chest,Have A Nice Day,Bon Jovi,,5:00,Rock,,,"Sing-Along, Spring"
60,4 - Back,Africa,E-Type,,5:05,Pop,,,
60,5 - Triceps,Who Knew,P!nk,,4:26,Pop,,,"P!nk, Women of Pop, Short (<4:30)"
60,6 - Biceps,Flaunt It,TV Rock feat. Seany B,,4:07,EDM,,,Short (<4:30)
60,7 - Lunges,Angel,b*p*m,,4:52,Pop,,,
60,8 - Shoulders,One Night In Bangkok,Vinylshakerz,,4:09,EDM,,,Short (<4:30)
60,9 - Core,Hips Don't Lie,Shakira feat. Wyclef Jean,,4:16,Latin,,,"Sing-Along, Short (<4:30)"
60,10 - Cooldown,So Far Away,Amici Forever,,4:24,Pop,,,Short (<4:30)
61,1 - Warmup,Love Changes (Everything) (Original Radio Edit),Musikk feat John Rock,,5:29,Pop,,,
61,2 - Squats,Walk On Water (Flip & Fill Remix),Milk Inc,,5:28,EDM,,,
61,3 - Chest,I'm Not Dead,P!nk,,5:44,Pop,,,"P!nk, Women of Pop"
61,4 - Back,Miracle (Extended Mix),Cascada,,5:26,EDM,,,
61,5 - Triceps,Sexyback (Clean Version),Justin Timberlake,,4:01,Pop,,,"Valentine's Day, Sing-Along, Short (<4:30), Spicy"
61,6 - Biceps,Original Fire,Audioslave,,3:36,Rock,,,Short (<4:30)
61,7 - Lunges,Somebody's Watching Me (Hi_Tack Radio Edit),BeatFreakz,,5:05,EDM,,,Halloween
61,8 - Shoulders,Uprocking Beats,Bomfunk MCs,,4:02,EDM,,,Short (<4:30)
61,9 - Core,Deja Vu,Beyonce feat Jay Z,,4:05,Pop,,,Short (<4:30)
61,10 - Cooldown,Chasing Cars,Snow Patrol,,4:34,Pop,,,Emo
62,1 - Warmup,I Believe In Dreams (Full On Vocal Radio Edit),Jackie Rawe,,5:18,Pop,,,
62,2 - Squats,Run To Paradise,Nick Skitz vs The Choirboys,,5:52,Pop,,,
62,3 - Chest,Rock This Party (Everybody Dance Now) (Original),"Bob Sinclair & Cutee B feat. Dollarman, Big Ali & Makedah",,5:33,Pop,,,
62,4 - Back,How Long (Radio Mix),Jessy,,5:13,Pop,,,
62,5 - Triceps,Wind It Up (Main Mix),Gwen Stefani,,4:34,Pop,,,
62,6 - Biceps,Weight Of The World,Evanescence,,3:32,Rock,,,"Emo, Short (<4:30)"
62,7 - Lunges,I Go Crazy (Giuseppe D.'s Euro Madness Mix),DHT feat. Edmee,,5:17,Pop,,,
62,8 - Shoulders,The Power Of Bhangra 2003,Snap! vs Motivo,,4:39,Pop,,,
62,9 - Core,My Love feat. T.I.,Justin Timberlake,,4:47,Pop,,,Valentine's Day
62,10 - Cooldown,Lips Of An Angel,Hinder,,4:26,Pop,,,Short (<4:30)
63,1 - Warmup,All For You,Kate Ryan,,5:14,Pop,,,
63,2 - Squats,Truly Madly Deeply (Club Mix),Cascada,,5:29,EDM,,,
63,3 - Chest,Famous Last Words,My Chemical Romance,,4:56,Rock,,,Emo
63,4 - Back,Think About The Way (Extended Mix),Frisco v Ice MC,,5:27,Pop,,,
63,5 - Triceps,Faster Kill Pussycat (Club Mix),Paul Oakenfold feat. Brittany Murphy,,4:16,Pop,,,Short (<4:30)
63,6 - Biceps,Ain't No Other Man (Radio Version),Christina Aguilera,,3:42,Pop,,,"Women of Pop, Short (<4:30)"
63,7 - Lunges,Love Sensation '06 (Hi_Tack Burnin' Up Radio Edit),Loleatta Holloway,,5:06,Pop,,,
63,8 - Shoulders,Fast Life (Clean Version),Freestylers,,4:39,Pop,,,
63,9 - Core,The Sweet Escape featuring Akon,Gwen Stefani,,4:13,Pop,,,"Women of Pop, Short (<4:30)"
63,10 - Cooldown,It Ends Tonight,The All-American Rejects,,4:10,Rock,,,"Emo, Short (<4:30)"
64,1 - Warmup,"Walk Away (Tony Moran, Warren Rigg Evolution Mix)",Tony Moran feat Kristine W,,5:08,Pop,,,
64,2 - Squats,More Than A Feeling,Rockout,,5:43,Pop,,,
64,3 - Chest,In Love With You,Freestylers,,5:38,Pop,,,
64,4 - Back,See The Light (Original Mix),Paradise,,5:33,Pop,,,"Valentine's Day, Spring"
64,5 - Triceps,Hungry,INXS,,4:21,Pop,,,Short (<4:30)
64,6 - Biceps,Hey Everybody (feat Kurtis Blow and Max C),Bomfunk MC's,,3:57,Pop,,,Short (<4:30)
64,7 - Lunges,The Sun Always Shines On TV,Milk Inc,,5:11,EDM,,,"Summer, Spring"
64,8 - Shoulders,Keep Your Hands Off My Girl,Good Charlotte,,4:09,Rock,,,"Emo, Short (<4:30)"
64,9 - Core,Here Comes The Hotstepper,Ini Kamoze,,4:12,Pop,,,"Sing-Along, Short (<4:30)"
64,10 - Cooldown,Hurt,Christina Aguilera,,4:09,Pop,,,"Break-Up Songs, Women of Pop, Short (<4:30)"
65,1 - Warmup,Way Of Life,Slinkee Minx,,5:19,Pop,,,
65,2 - Squats,Just Like Paradise (Skitz Clubb Mixx),Nick Skitz,,5:48,Pop,,,
65,3 - Chest,Breakaway (Chris Fraser Radio Edit),Inaya Day,,4:49,Pop,,,
65,4 - Back,Wanna Be Free,Paradise,,5:52,Pop,,,
65,5 - Triceps,Get Down Feat. Stush,Groove Armada,,3:59,EDM,,,Short (<4:30)
65,6 - Biceps,"Too Much, Too Young, Too Fast",Airbourne,,3:59,Pop,,,Short (<4:30)
65,7 - Lunges,Blinded By The Light,Michael Mind feat. Manfred Mann's Earth Band,,5:16,Pop,,,
65,8 - Shoulders,Meet Her At The Love Parade 2007 (Club Mix),DJ Aligator,,4:58,EDM,,,Pride
65,9 - Core,Stronger (Radio Edit),Kanye West,,4:13,Hip-Hop,,,"Sing-Along, Beast Mode, Positive Vibes, Short (<4:30)"
65,10 - Cooldown,Like The Sun,RyanDan,,4:32,Pop,,,Summer
66,1 - Warmup,Rain Down Love,Freemasons Feat. Siedah Garrett,,5:19,Pop,,,"Valentine's Day, Spring"
66,2 - Squats,Cisko Disko,Rico Bass Vs DJ Bonito,,5:49,EDM,,,
66,3 - Chest,Get Up,Technotronic,,5:38,EDM,,,
66,4 - Back,What Hurts The Most,Cascada,,5:53,EDM,,,
66,5 - Triceps,Time After Time,Quietdrive,,3:59,Pop,,,Short (<4:30)
66,6 - Biceps,On Your Way To The Disco,Rogue Traders,,4:07,Pop,,,Short (<4:30)
66,7 - Lunges,Show Me Heaven,Micky Modelle vs Jessy,,5:03,Pop,,,
66,8 - Shoulders,Where Are You 2007 (Paffendorf vs The Real Booty Babes Club Mix),Paffendorf,,5:03,Pop,,,
66,9 - Core,Extreme Ways (Bourne's Ultimatum),Moby,,4:26,Pop,,,Short (<4:30)
66,10 - Cooldown,Always On Your Side,Sheryl Crow,,4:16,Pop,,,"Women of Pop, Short (<4:30)"
67,1 - Warmup,Bleeding Love,Jamie Knight (original: Leona Lewis),,5:06,Pop,,,"Break-Up Songs, Women of Pop"
67,2 - Squats,Piece Of My Heart,Jan Wayne,,5:51,Pop,,,
67,3 - Chest,Paralyzer,Finger Eleven,,4:49,Pop,,,
67,4 - Back,Eurofighter,E-Type,,4:57,Pop,,,
67,5 - Triceps,Cuz I Can,P!nk,,5:03,Pop,,,"P!nk, Women of Pop"
67,6 - Biceps,We Got It Going On,Bon Jovi,,4:17,Rock,,,Short (<4:30)
67,7 - Lunges,I Need A Miracle,KLM,,5:16,Pop,,,Sing-Along
67,8 - Shoulders,Now You're Gone (DJ Alex),Basshunter,,4:48,Pop,,,
67,9 - Core,B Boy Baby,Mutya Buena,,3:56,Pop,,,Short (<4:30)
67,10 - Cooldown,Angel,Aerosmith,,4:58,Rock,,,
68,1 - Warmup,Perfect Day,Indigo,,5:27,Pop,,,"Positive Vibes, Spring, Summer"
68,2 - Squats,Big Girls Don't Cry,Nick Skitz,,5:42,Pop,,,
68,3 - Chest,It's Not My Time,3 Doors Down,,5:00,Rock,,,
68,4 - Back,What Do You Want From Me,Cascada,,5:17,EDM,,,
68,5 - Triceps,Hook Me Up,Veronicas,,5:02,Pop,,,
68,6 - Biceps,Start It,Vanessa Amorosi,,3:39,Pop,,,Short (<4:30)
68,7 - Lunges,Listen To Your Heart,Nick Skitz,,5:26,Pop,,,Valentine's Day
68,8 - Shoulders,My Game,Darude,,4:14,Pop,,,Short (<4:30)
68,9 - Core,Forever,Chris Brown,,4:37,Hip-Hop,,,
68,10 - Cooldown,Dare To Live,Andrea Bocelli,,4:08,Pop,,,"Short (<4:30), Spring"
69,1 - Warmup,Better In Time,Jamie Knight,,5:45,Pop,,,
69,2 - Squats,Get This Party Started,Dan Winter,,5:31,Pop,,,New Year's Eve
69,3 - Chest,I Don't Care,Fall Out Boy,,4:46,Rock,,,Emo
69,4 - Back,Castles In The Sky,Liz Kay,,5:34,Pop,,,
69,5 - Triceps,Shut Up & Drive,Rihanna,,4:30,Pop,,,"Spicy, Women of Pop, Sing-Along, Short (<4:30)"
69,6 - Biceps,So What,P!nk,,3:33,Pop,,,"P!nk, Women of Pop, Short (<4:30), Break-Up Songs"
69,7 - Lunges,Stand Alone,Dyce,,5:09,Pop,,,
69,8 - Shoulders,All I Ever Wanted,Basshunter,,4:44,Pop,,,
69,9 - Core,All Summer Long,Kid Rock,,4:47,Rock,,,Summer
69,10 - Cooldown,Let Me Be Myself,3 Doors Down,,3:53,Pop,,,Short (<4:30)
70,1 - Warmup,Don't Leave Me With The Light On,Danzel,,5:00,Pop,,,
70,2 - Squats,It's All Your Fault,P!nk,,4:59,Pop,,,"P!nk, Break-Up Songs, Women of Pop"
70,3 - Chest,Infinity 2008 (Klaas Vocal Edit),Guru Josh Project,,4:39,Pop,,,
70,4 - Back,True Believer,E-Type,,5:09,Pop,,,
70,5 - Triceps,Better,Christina Aguilera,,4:34,Pop,,,Women of Pop
70,6 - Biceps,Gotta Be Somebody,Nickelback,,4:05,Rock,,,Short (<4:30)
70,7 - Lunges,Raindrops (Encore Une Fois Part II) (Kindervater Remix),Sash! feat. Stunt,,5:30,Hip-Hop,,,
70,8 - Shoulders,Thunderstruck,Hinder (original: AC/DC),,4:43,Rock,,,"Spring, Beast Mode"
70,9 - Core,Love Lockdown,Kanye West,,4:35,Hip-Hop,,,Valentine's Day
70,10 - Cooldown,If I Were A Boy,Beyonce,,4:15,Pop,,,"Women of Pop, Break-Up Songs, Short (<4:30)"
71,1 - Warmup,Magnetized (Original Mix),James Sampson,,4:28,Pop,,,Short (<4:30)
71,2 - Squats,"Summer Of 69 (Picco, Jens O & Maddin Orignial Mix)",Mega Mania (original: Bon Jovi),,5:13,Rock,,,"Sing-Along, Spicy, Summer"
71,3 - Chest,Right Round,Flo Rida feat. Ke$ha,,5:25,Hip-Hop,,,Sing-Along
