Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags,,,,,,,,Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?
89,1 - Warmup,Not Alone,Dane Rumble feat. Jupiter Project,87,4:38,Pop,,,,,,,,,,,,,,,,,,
89,2 - Squats,Raise Those Hands,R3Hab & Bassjackers,128,5:41,EDM,,,New Year's Eve,,,,,,,,,,,,,,,
89,3 - Chest,Where Did the Party Go,Fall Out Boy,94,5:06,Rock,,,"Emo, New Year's Eve",,,,,,,,,,,,,,,
89,4 - Back,Me & You,Nero,104,5:25,EDM,,,,,,,,,,,,,,,,,,
89,5 - Triceps,Applause,Lady Gaga,95,4:35,Pop,,,"Women of Pop, Sing-Along",,,,,,,,,,,,,,,
89,6 - Biceps,When You Were Young,The Killers,101,5:22,Rock,,,Sing-Along,,,,,,,,,,,,,,,
89,7 - Lunges,Burn,Ellie Goulding,100,5:34,Pop,,,"Women of Pop, Sing-Along, Summer",,,,,,,,,,,,,,,
89,8 - Shoulders,True Hardstyler (Silver Nikan Radio Edit),Brooklyn Bounce & DJ Zealot,125,5:29,EDM,,,,,,,,,,,,,,,,,,
89,9 - Core,La La La,Naughty Boy feat. Sam Smith,58,3:44,Pop,,,,,,,,,,,,,,,,,,
89,10 - Cooldown,Radioactive,Imagine Dragons,0,3:56,Rock,,,"Sing-Along, Halloween",,,,,,,,,,,,,,,
90,1 - Warmup,You Make Me,Avicii,92,5:20,Rock,,,,,,,,,,,,,,,,,,
90,2 - Squats,What Now,Rihanna,134,5:51,Hip-Hop,,,Women of Pop,,,,,,,,,,,,,,,
90,3 - Chest,Conquistador,Thirty Seconds to Mars,108,5:29,Rock,,,Emo,,,,,,,,,,,,,,,
90,4 - Back,Promises,Nero,118,5:45,EDM,,,,,,,,,,,,,,,,,,
90,5 - Triceps,Walk of Shame,P!nk,94,4:18,Pop,,,"P!nk, Women of Pop",,,,,,,,,,,,,,,
90,6 - Biceps,Miss Jackson,Panic! at the Disco feat. Loco,106,3:59,Rock,,,"Emo, Break-Up Songs",,,,,,,,,,,,,,,
90,7 - Lunges,Stay the Night,Zedd feat. Hayley Williams,128,5:20,Pop,,,,,,,,,,,,,,,,,,
90,8 - Shoulders,Thumbs Up (For Rock N Roll) Kill The Noise Remix,Kill the Noise and Feed Me,113,4:37,EDM,,,Positive Vibes,,,,,,,,,,,,,,,
90,9 - Core,Something I Need,OneRepublic,126,4:06,Pop,Hard,,Hard,,,,,,,,,,,,,,,
90,10 - Cooldown,How You Remind Me,Nickelback,0,4:07,Rock,,,Break-Up Songs,,,,,,,,,,,,,,,
90,6 - Biceps,Everybody Bring It,Ronnie Fi'nesse,128,4:58,Hip-Hop,,,,,,,,,,,,,,,,,,
